Attack;Year;Records;Organization Type;Country;Attack Vector
Baku-Tbilisi-Ceyhan Pipeline explosion;2008;unknown;Petroleum;Turkey;poor security
Iranian Oil Terminal offline after malware attack;2012;unknown;Petroleum;Iran;malware attack
German Steel Mill Cyber Attack;2014;unknown;Metals;Germany;social engineering
Russian-Based Dragonfly Group Attacks Energy Industry;2014;unknown;Power and Utilities;United States;phishing
U-2 spy plane caused widespread shutdown of U.S. flights: report;2014;unknown;Transportation;United States;poor security
After Godzilla Attack! U.S. warns about traffic-sign hackers;2014;unknown;Transportation;United States;unknown
Public utility compromised after brute-force hack attack says Homeland Security;2014;unknown;Power and Utilities;United States;poor security
Broadcast Storm Shuts Down DCS Consoles;1997;unknown;Pulp and Paper;Canada;poor security
PLC Password Change;1988;unknown;Pulp and Paper;Canada;insider threat
Duplicate IP Address Prevents Machine Startup;1996;unknown;Pulp and Paper;Canada;poor security
Whitehat Takeover of DCS Consoles;2002;unknown;Petroleum;Canada;hacked
Hackers Target Cal - ISO System;2001;unknown;Power and Utilities;United States;hacked
Electronic Sabatoge of Venezuela Oil Operations;2002;unknown;Petroleum;Venezuela;hacked
Nimda Impact on Manufacturing System;2001;unknown;Food & Beverage;United States;insider threat
CIA Trojan Causes Siberian Gas Pipeline Explosion;1982;unknown;Petroleum;Russian Federation;malware attack
Hacker Takes Over Russian Gas System;1999;unknown;Petroleum;Russian Federation;malware attack
Iranian Hackers Attempt to Disrupt Israel Power System;2003;unknown;Power and Utilities;Israel;hacked
Virus Impacts Paper Machine HMI;2004;unknown;Pulp and Paper;United States;unknown
IP Address Change Shuts Down Chemical Plant;2002;unknown;Chemical;United States;hacked
Hackers Attack NZ & Aust for Joining Gulf Taskforce;1998;unknown;Power and Utilities;New Zealand;poor security
Theft of Relay Programming Laptops;2004;unknown;Power and Utilities;United States;lost or stolen device
SCADA/EMS Alarm System Failure Contributes to Blackout;2003;unknown;Power and Utilities;United States;poor security
Reverse Osmosis System PLC Attacked;2002;unknown;Electronic Manufacturing;United States;hacked
DoS Attack Shuts Down Port of Houston;2001;unknown;Transportation;United States;poor security
Navy Radar Shuts Down SCADA Systems;1999;unknown;Water/Waste Water;United States;poor security
Hackers Crash Controller via Web Service;2002;unknown;Electronic Manufacturing;United Kingdom;hacked
Anti-Virus Software Prevents Boiler Safety Shutdown;2001;unknown;Petroleum;United States;poor security
Telco Shuts Off Critical SCADA Comms;2003;unknown;Petroleum;Canada;poor security
Slammer Infected Laptop Shuts Down DCS;2003;unknown;Petroleum;United Kingdom;hacked
Blaster Impacts HMI Stations in Smelter;2003;unknown;Metals;Canada;hacked
Hacker Changes Chemical Plant Set Points via Modem;2002;unknown;Chemical;Canada;poor security
